word	F	Ao	Ez		
vostre	9	9	0		
Yvain	9	9	0		
Artu	8	8	0		
el	8	8	0		
espee	8	8	0		
estoient	8	8	0		
meesmes	8	8	0		
nul	8	8	0		
ostel	8	8	0		
parmi	8	8	0		
Qant	8	8	0		
rote	8	8	0		
sale	8	8	0		
vait	8	8	0		
aus	7	7	0		
avant	7	7	0		
cele	7	7	0		
cheval	7	7	0		
contes	7	7	0		
cuit	7	7	0		
Deu	7	7	0		
dist	7	7	0		
do	7	7	0		
doivent	7	7	0		
dui	7	7	0		
esté	7	7	0		
gel	7	7	0		
iauz	7	7	0		
iestes	7	7	0		
prant	7	7	0		
quoi	7	7	0		
senefie	7	7	0		
voil	7	7	0		
volez	7	7	0		
ançois	6	6	0		
anfant	6	6	0		
avocques	6	6	0		
biau	6	6	0		
chascuns	6	6	0		
choses	6	6	0		
ci	6	6	0		
Damedeu	6	6	0		
dons	6	6	0		
feste	6	6	0		
forest	6	6	0		
Ge	6	6	0		
mestier	6	6	0		
Ne	6	6	0		
nel	6	6	0		
Nostre	6	6	0		
paor	6	6	0		
parole	6	6	0		
porroit	6	6	0		
sachiez	6	6	0		
Seignor	6	6	0		
seroit	6	6	0		
sui	6	6	0		
teches	6	6	0		
tranchanz	6	6	0		
voloit	6	6	0		
ainz	5	5	0		
amor	5	5	0		
bel	5	5	0		
biaus	5	5	0		
celes	5	5	0		
Chamahalot	5	5	0		
dites	5	5	0		
domage	5	5	0		
Ele	5	5	0		
escuiers	5	5	0		
eüst	5	5	0		
Gauvains	5	5	0		
hardiz	5	5	0		
hom	5	5	0		
home	5	5	0		
joie	5	5	0		
jusqu	5	5	0		
nos	5	5	0		
planté	5	5	0		
preudome	5	5	0		
proesce	5	5	0		
Saint	5	5	0		
secors	5	5	0		
set	5	5	0		
siegle	5	5	0		
tronçons	5	5	0		
anor	4	4	0		
anz	4	4	0		
autresi	4	4	0		
aventures	4	4	0		
avroit	4	4	0		
avroiz	4	4	0		
baise	4	4	0		
blanche	4	4	0		
boennes	4	4	0		
ceste	4	4	0		
chevax	4	4	0		
commança	4	4	0		
cote	4	4	0		
dedanz	4	4	0		
destre	4	4	0		
devez	4	4	0		
diemenche	4	4	0		
encor	4	4	0		
Ensi	4	4	0		
esbahiz	4	4	0		
Escripture	4	4	0		
esgarde	4	4	0		
feïst	4	4	0		
fist	4	4	0		
foi	4	4	0		
foiz	4	4	0		
g	4	4	0		
haut	4	4	0		
hore	4	4	0		
laisse	4	4	0		
longuement	4	4	0		
Lyonel	4	4	0		
maisons	4	4	0		
maniere	4	4	0		
mervoilles	4	4	0		
messires	4	4	0		
neporqant	4	4	0		
outre	4	4	0		
po	4	4	0		
poïst	4	4	0		
pueples	4	4	0		
qe	4	4	0		
savez	4	4	0		
sel	4	4	0		
seroiz	4	4	0		
somiers	4	4	0		
talant	4	4	0		
!	3	3	0		
apartienent	3	3	0		
arrieres	3	3	0		
atandre	3	3	0		
atant	3	3	0		
avriez	3	3	0		
