id,token,LEMME,PPOS,MODE,TEMPS,PERS.,NOMB.,GENRE,CAS,DEGRE,PPOSM,flectM,REMARQUES
Ao_w_000314,graisse,craisse,NOMcom,,,,s,f,r,,,,
Ao_w_000315,com,come1,CONsub,,,,,,,,,,
Ao_w_000316,s,se,CONsub,,,,,,,,,,
Ao_w_000317,il,il,PROper,,,3,s,m,n,,,,
Ao_w_000318,fust,estre1,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000319,el,en1+le,PRE.DETdef,,,,s,m,r,,,,
Ao_w_000320,mois,mois1,NOMcom,,,,s,m,r,,,,
Ao_w_000321,d,de,PRE,,,,,,,,,,
Ao_w_000322,aost,aost,NOMcom,,,,s,m,r,,,,
Ao_w_000323,Si,si,ADVgen,,,,,,,-,,,
Ao_w_000324,l,il,PROper,,,3,s,m,r,,,,
Ao_w_000325,esgardoient,esgarder,VERcjg,ind,ipf,3,p,,,,,,
Ao_w_000326,tuit,tot,DETind,,,,p,m,n,,,,
Ao_w_000327,si,son4,ADJpos,,,3,s,m,n,,,,
Ao_w_000328,compaignon,compagnon,NOMcom,,,,p,m,n,,,,
Ao_w_000329,a,a3,PRE,,,,,,,,,,
Ao_w_000330,grant,grant,ADJqua,,,,s,f,r,p,,,
Ao_w_000331,mervoille,merveille,NOMcom,,,,s,f,r,,,,
Ao_w_000332,Il,il,PROper,,,3,s,m,n,,,,
Ao_w_000333,enveia,envoier,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000334,lo,le,DETdef,,,,s,m,r,,,,
Ao_w_000335,cerf,cerf,NOMcom,,,,s,m,r,,,,
Ao_w_000336,a,a3,PRE,,,,,,,,,,
Ao_w_000337,sa,son4,DETpos,,,3,s,f,r,,,,
Ao_w_000338,dame,dame,NOMcom,,,,s,f,r,,,,
Ao_w_000339,par,par,PRE,,,,,,,,,,
Ao_w_000340,deus,deus,DETcar,,,,p,m,r,,,,
Ao_w_000341,vallez,vaslet,NOMcom,,,,p,m,r,,,,
Ao_w_000342,et,et,CONcoo,,,,,,,,,,
Ao_w_000343,ele,il,PROper,,,3,s,f,n,,,,
Ao_w_000344,se,soi1,PROper,,,3,s,f,r,,,,
Ao_w_000345,merveilla,merveillier,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000346,trop,trop,ADVgen,,,,,,,-,,,
Ao_w_000347,durement,durement,ADVgen,,,,,,,-,,,
Ao_w_000348,comment,coment,CONsub,,,,,,,,,,
Ao_w_000349,il,il,PROper,,,3,s,m,n,,,,
Ao_w_000350,estoit,estre1,VERcjg,ind,ipf,3,s,,,,,,
Ao_w_000351,si,si,ADVgen,,,,,,,-,,,
Ao_w_000352,gras,cras,ADJqua,,,,s,m,n,p,,,
Ao_w_000353,en,en1,PRE,,,,,,,,,,
Ao_w_000354,tel,tel,DETind,,,,s,f,r,,,,
Ao_w_000355,saison,saison,NOMcom,,,,s,f,r,,,,
Ao_w_000356,et,et,CONcoo,,,,,,,,,,
Ao_w_000357,de,de,PRE,,,,,,,,,,
Ao_w_000358,la,le,DETdef,,,,s,f,r,,,,
Ao_w_000359,grandor,grandor,NOMcom,,,,s,f,r,,,,
Ao_w_000360,qu,que2,PROrel,,,,s,f,r,,,,
Ao_w_000361,il,il,PROper,,,3,s,m,n,,,,
Ao_w_000362,avoit,avoir,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000363,se,soi1,PROper,,,3,s,m,r,,,,
Ao_w_000364,merveilla,merveillier,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000365,a,a3,PRE,,,,,,,,,,
Ao_w_000366,desmesure,desmesure,NOMcom,,,,s,f,r,,,,
