id,token,LEMME,PPOS,MODE,TEMPS,PERS.,NOMB.,GENRE,CAS,DEGRE,PPOSM,flectM,REMARQUES
Ao_w_000256,Qant,cant1,CONsub,,,,,,,,,,
Ao_w_000257,vint,venir,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000258,au,a3+le,PRE.DETdef,,,,s,m,r,,,,
Ao_w_000259,chief,chief,NOMcom,,,,s,m,r,,,,
Ao_w_000260,de,de,PRE,,,,,,,,,,
Ao_w_000261,dishuit,dis+huit,DETcar,,,,p,m,r,,,,
Ao_w_000262,anz,an,NOMcom,,,,p,m,r,,,,
Ao_w_000263,un,un,DETndf,,,,s,m,r,,,,
Ao_w_000264,po,poi,NOMcom,,,,s,m,r,,,,
Ao_w_000265,aprés,après,PRE,,,,,,,,,,
Ao_w_000266,la,le,DETdef,,,,s,f,r,,,,
Ao_w_000267,Pentecoste,pentecoste,NOMpro,,,,s,f,r,,,,
Ao_w_000268,si,si,ADVgen,,,,,,,-,,,
Ao_w_000269,fu,estre1,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000270,alez,aler,VERppe,,,,s,m,r,,,,
Ao_w_000271,en,en1,PRE,,,,,,,,,,
Ao_w_000272,bois,bois,NOMcom,,,,s,m,r,,,,
Ao_w_000273,si,si,ADVgen,,,,,,,-,,,
Ao_w_000274,ot,avoir,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000275,trové,trover,VERppe,,,,s,m,r,,,,
Ao_w_000276,un,un,DETndf,,,,s,m,r,,,,
Ao_w_000277,si,si,ADVgen,,,,,,,-,,,
Ao_w_000278,grant,grant,ADJqua,,,,s,m,r,p,,,
Ao_w_000279,cerf,cerf,NOMcom,,,,s,m,r,,,,
Ao_w_000280,que,que2,PROrel,,,,s,m,r,,,,
Ao_w_000281,onques,onque,ADVgen,,,,,,,-,,,
Ao_w_000282,mais,mais1,ADVgen,,,,,,,-,,,
Ao_w_000283,en,en1,PRE,,,,,,,,,,
Ao_w_000284,sa,son4,DETpos,,,3,s,f,r,,,,
Ao_w_000285,vie,vie,NOMcom,,,,s,f,r,,,,
Ao_w_000286,un,un,DETndf,,,,s,m,r,,,,
Ao_w_000287,si,si,ADVgen,,,,,,,-,,,
Ao_w_000288,grant,grant,ADJqua,,,,s,m,r,,,,
Ao_w_000289,n,ne1,ADVneg,,,,,,,,,,
Ao_w_000290,avoit,avoir,VERcjg,ind,ipf,3,s,,,,,,
Ao_w_000291,veü,vëoir,VERppe,,,,s,m,r,,,,
Ao_w_000292,Et,et,CONcoo,,,,,,,,,,
Ao_w_000293,por,por2,POR,,,,,,,,,,
Ao_w_000294,la,le,DETdef,,,,s,f,r,,,,
Ao_w_000295,grant,grant,ADJqua,,,,s,f,r,p,,,
Ao_w_000296,mervoille,merveille,NOMcom,,,,s,f,r,,,,
Ao_w_000297,mostrer,mostrer,VERinf,,,,,,,,,,
Ao_w_000298,si,si,ADVgen,,,,,,,-,,,
Ao_w_000299,i,i2,PROadv,,,,,,,,,,
Ao_w_000300,traist,traire,VERcjg,ind,pst,3,s,,,,,,
Ao_w_000301,et,et,CONcoo,,,,,,,,,,
Ao_w_000302,l,il,PROper,,,3,s,m,r,,,,
Ao_w_000303,ocist,ocire,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000304,Qant,cant1,CONsub,,,,,,,,,,
Ao_w_000305,il,il,PROper,,,3,s,m,n,,,,
Ao_w_000306,l,il,PROper,,,3,s,m,r,,,,
Ao_w_000307,ot,avoir,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000308,ocis,ocire,VERppe,,,,s,m,r,,,,
Ao_w_000309,si,si,ADVgen,,,,,,,-,,,
Ao_w_000310,lo,il,PROper,,,3,s,m,r,,,,
Ao_w_000311,trova,trover,VERcjg,ind,psp,3,s,,,,,,
Ao_w_000312,de,de,PRE,,,,,,,,,,
Ao_w_000313,grant,grant,ADJqua,,,,s,f,r,p,,,
